Date,day,year,year2,DateSPSS,Name,Name2,Record#,TypeofInteraction,FemaleAgeclass,FemaleMotherClass,OffspringClass,ObservedReproductiveStatus,EndocrineStatusHormones,CyclePhaseHormones,ReproductiveStatus,Endo2,Endo3,Endo4,Endo5,Endo6,Endo7,Endo8,Pregnantvs.nonpregnant,E1CmgCr,PDGmgCr,CommentMET,EndorineComment,SocialInteraction,InteractionwithMale,Mating,NearMating,Consortship,ObservationMinutes,FollowType,FollowTypeII,Lengthofmating,PelvicThrusts,Male,MaletypeI,MaleTypeII,MaleTypeIII,MatingTypeExcel,MatingTypePercent,MatingTypePercentII,MatingTypeII,MatingTypeIII,Matingtypequestionable,TotalnonresistantProceptiveandResistanceBehaviors,NonResistantBeforeBehaviors,NonResistantDuringBehaviors,Totalnonresistantbehaviors,NonresistantBehaviors,ProceptiveBehaviors,ProceptiveBehaviors_A,TotalunresistedandProcepetivebehaviors,unresistedandProcepetivebehaviors,ResistantBeforeBehaviors,BeforeBehaviors,ResistantDuringBehaviors,DuringBehaviors,TotalResistantBehaviors,ResistantBehaviors,AttractionBehaviors,Mating01,POP,preg,lact,prime,past,unflanged,included,endomiss
33130,258,90,90.70499657768652,09/15/1990,Cindy,Cindy,81,,Adult Female,Non-mother,No infant,Cycling,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,N,N,N,N,N,689,D  found then full day,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
33131,259,90,90.70773442847364,09/16/1990,Cindy,Cindy,83,,Adult Female,Non-mother,No infant,Cycling,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,N,N,N,N,N,435,H  lost,H, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
35609,180,97,97.492128678987,06/29/1997,Dwi,Dwi,2439,,Adult Female,Non-mother,No infant,,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Maybe,N,N,N,N,772,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
33889,286,92,92.78302532511978,10/12/1992,Female E,efemale,450,,Adult Female,Mother,Over 4 yrs,L1,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,10207,4207,looks like end of luteal,,N,N,N,N,N,105,D  found then full day,, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34340,007,94,94.01779603011636,01/07/1994,Elizabeth,Elizabeth,31,Mating 1,Adult Female,Mother,Inf no juv,L4,,,Cycling,non-POP,Cycling,POP,POP,Near-POP,POP,non-POP,Non-Preg, , ,,"High P 6 Jan-16 Jan, no data when E peak occurred, looks just after ovulation",Y,Y,Y,N,Y,785,L  late full day,F,0.001389,10,Gagung,Unflanged,Unflanged,Non-Prime,Cooperative,Cooperative,Cooperative,Unforced,Unresisted,No,3,1, ,1,0.33,1,0.33,2,0.67,1,0.33, ,0,1,0.33,3,1,0,0,0,0,0,1,1,0
34343,010,94,94.02600958247776,01/10/1994,Elizabeth,Elizabeth,40,Consortship,Adult Female,Mother,Inf no juv,L4,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,14253,1803,luteal,,Y,Y,N,N,Y,802,F  full,F, , ,Unflanged Male,Unflanged,Unflanged,Non-Prime,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0,0,0,1,1,0
34352,019,94,94.05065023956195,01/19/1994,Elizabeth,Elizabeth,47,Attempt 1,Adult Female,Mother,,,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Y,Y,,Y,Y, ,,, , ,Gagung,Unflanged,Unflanged,Non-Prime,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0,0,0,1,1,1
34299,331,93,93.90554414784394,11/27/1993,Elizabeth,Elizabeth,803,,Adult Female,Mother,Inf no juv,L4,cycling,pop,Cycling,POP,Cycling,POP,POP,POP,POP,POP,Non-Preg,14730,1722,just before E/P rise,,Maybe,N,N,N,N,450,L  late full day,, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,1,0,0, , , ,0,0
34300,332,93,93.90828199863107,11/28/1993,Elizabeth,Elizabeth,808,,Adult Female,Mother,Inf no juv,L4,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,55917,10565,"near-pop, luteal",,Y,N,N,N,N,777,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34301,333,93,93.91101984941821,11/29/1993,Elizabeth,Elizabeth,811,,Adult Female,Mother,Inf no juv,L4,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,9778,5090,"near-pop, luteal",,Y,N,N,N,N,758,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34302,334,93,93.91375770020534,11/30/1993,Elizabeth,Elizabeth,814,,Adult Female,Mother,Inf no juv,L4,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,24706,9063,"near-pop, luteal",,partial,,N,N,N,775,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34303,335,93,93.91649555099247,12/01/1993,Elizabeth,Elizabeth,816,,Adult Female,Mother,Inf no juv,L4,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,4158,418,low E & P,,partial,,N,N,N,710,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34305,337,93,93.92197125256673,12/03/1993,Elizabeth,Elizabeth,821,,Adult Female,Mother,Inf no juv,L4,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,4074,150,low E & P,,Y,Y,N,N,N,685,F  full,F, , ,Flanged Male?,Flanged,No Data,No Data,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34306,338,93,93.92470910335386,12/04/1993,Elizabeth,Elizabeth,824,,Adult Female,Mother,Inf no juv,L4,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,6589,568,low E & P,,Y,N,N,N,N,729,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34307,339,93,93.927446954141,12/05/1993,Elizabeth,Elizabeth,826,,Adult Female,Mother,Inf no juv,L4,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,26452,365,low E & P,,N,N,N,N,N,753,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34309,341,93,93.93292265571526,12/07/1993,Elizabeth,Elizabeth,830,,Adult Female,Mother,Inf no juv,L4,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,12658,308,low E & P,,Y,Y,N,N,N,635,F  full,F, , ,Roman,Flanged,Prime Male,Prime,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0,1,0,0,1,0
34310,342,93,93.9356605065024,12/08/1993,Elizabeth,Elizabeth,832,,Adult Female,Mother,Inf no juv,L4,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,3207,96,low E & P,,N,N,N,N,N,690,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34311,343,93,93.93839835728953,12/09/1993,Elizabeth,Elizabeth,835,,Adult Female,Mother,Inf no juv,L4,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,14973,284,low E & P,,N,N,N,N,N,748,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34338,005,94,94.01232032854209,01/05/1994,Elizabeth,Elizabeth,868,,Adult Female,Mother,Inf no juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,N,N,N,N,N,245,D  found then full day,, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34339,006,94,94.01505817932923,01/06/1994,Elizabeth,Elizabeth,872,,Adult Female,Mother,Inf no juv,L4,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,19576,5808,luteal,,N,N,N,N,N,828,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34341,008,94,94.02053388090349,01/08/1994,Elizabeth,Elizabeth,878,,Adult Female,Mother,Inf no juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,N,N,N,N,N,763,L  late full day,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34342,009,94,94.02327173169063,01/09/1994,Elizabeth,Elizabeth,879,Female companion consortship,Adult Female,Mother,Inf no juv,L4,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,19305,3818,luteal,,Y,Y,N,N,N,688,L  late full day,F, , ,Unflanged male,Unflanged,Unflanged,Non-Prime,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0,0,0,1,1,0
34344,011,94,94.02874743326488,01/11/1994,Elizabeth,Elizabeth,882,Female companion consortship,Adult Female,Mother,Inf no juv,L4,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,22809,3678,luteal,,Y,Y,N,N,N,660,F  full,F, , ,Toby,Unflanged,Unflanged,Non-Prime,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0,0,0,1,1,0
34345,012,94,94.03148528405202,01/12/1994,Elizabeth,Elizabeth,886,,Adult Female,Mother,Inf no juv,L4,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,42809,3500,luteal,,Maybe,N,N,N,N,765,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34346,013,94,94.03422313483915,01/13/1994,Elizabeth,Elizabeth,891,,Adult Female,Mother,Inf no juv,L4,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg, ,2624,luteal,,Y,N,N,N,N,746,L  late full day,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34347,014,94,94.03696098562628,01/14/1994,Elizabeth,Elizabeth,895,,Adult Female,Mother,Inf no juv,L4,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,11412,2031,luteal,,Y,N,N,N,N,780,L  late full day,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34348,015,94,94.03969883641342,01/15/1994,Elizabeth,Elizabeth,899,,Adult Female,Mother,Inf no juv,L4,,,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg, , ,,,Maybe,N,N,N,N,295.5,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34349,016,94,94.04243668720055,01/16/1994,Elizabeth,Elizabeth,903,,Adult Female,Mother,Inf no juv,L4,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,23348,1787,luteal,,N,N,N,N,N,691,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34351,018,94,94.04791238877482,01/18/1994,Elizabeth,Elizabeth,910,,Adult Female,Mother,Inf no juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,N,N,N,N,N,42,P  found and lost,, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34355,022,94,94.05886379192334,01/22/1994,Elizabeth,Elizabeth,919,,Adult Female,Mother,Inf no juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,N,N,N,N,N,246,D  found then full day,, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34356,023,94,94.06160164271047,01/23/1994,Elizabeth,Elizabeth,922,,Adult Female,Mother,Inf no juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,N,N,N,N,N,743,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34357,024,94,94.0643394934976,01/24/1994,Elizabeth,Elizabeth,925,,Adult Female,Mother,Inf no juv,L4,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,18540,1283,low E and P,,N,N,N,N,N,475,H  lost,, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
